,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Race - Ethnicity,Sex,Level of Supervision,Recidivism - Prison Admission
56177,5.0,4.0,4.1,8,1,6.0,0
56178,1.0,4.0,4.1,8,1,6.0,0
56179,2.0,4.0,4.1,8,1,6.0,0
56180,10.0,3.0,3.2,8,1,6.0,0
56181,2.0,2.0,2.1,8,0,6.0,0
56182,1.0,4.0,4.1,8,1,6.0,0
56183,2.0,2.0,2.3,8,1,6.0,0
56184,1.0,2.0,2.3,8,0,6.0,0
56185,2.0,4.0,4.1,8,1,6.0,0
56186,5.0,1.0,1.3,8,1,6.0,0
56187,1.0,4.0,4.1,8,1,6.0,0
56188,5.0,3.0,3.2,8,1,6.0,0
56189,5.0,2.0,2.3,8,1,6.0,0
56190,2.0,2.0,2.3,8,1,6.0,0
56191,2.0,3.0,3.1,8,0,6.0,0
56192,2.0,2.0,2.3,8,0,6.0,0
56193,5.0,3.0,3.2,8,1,6.0,0
56194,2.0,2.0,2.3,8,1,6.0,0
56195,5.0,3.0,3.2,8,1,6.0,0
56196,1.0,4.0,4.1,8,1,6.0,0
56197,10.0,3.0,3.2,8,1,6.0,0
56198,1.0,4.0,4.1,8,0,6.0,0
56199,0.1,4.0,4.1,8,1,6.0,0
56200,10.0,3.0,3.2,8,1,6.0,0
56201,2.0,2.0,2.3,8,1,6.0,0
56202,2.0,2.0,2.1,8,1,6.0,0
56203,2.0,2.0,2.3,8,1,6.0,0
56204,10.0,3.0,3.2,8,1,6.0,0
56205,1.0,4.0,4.1,8,1,6.0,0
56206,1.0,2.0,2.3,8,1,6.0,0
56207,1.0,3.0,3.1,8,1,6.0,0
56208,10.0,1.0,1.2,8,1,6.0,0
56209,2.0,1.0,1.1,8,1,6.0,0
56210,1.0,4.0,4.1,8,1,6.0,0
56211,2.0,2.0,2.3,8,1,6.0,0
56212,5.0,2.0,2.6,8,1,6.0,0
56213,0.1,4.0,4.1,8,1,6.0,0
56214,5.0,3.0,3.1,8,1,6.0,0
56215,1.0,4.0,4.1,8,1,6.0,0
56216,1.0,2.0,2.3,8,1,6.0,0
56217,5.0,3.0,3.1,8,0,6.0,0
56218,5.0,2.0,2.3,8,1,6.0,0
56219,2.0,2.0,2.2,8,1,6.0,0
56220,5.0,1.0,1.1,8,0,6.0,0
56221,2.0,2.0,2.3,8,1,6.0,0
56222,2.0,4.0,4.1,8,1,6.0,0
56223,10.0,3.0,3.2,8,1,6.0,0
56224,2.0,4.0,4.1,8,1,6.0,0
56225,5.0,2.0,2.3,8,1,6.0,0
56226,2.0,2.0,2.2,8,0,6.0,0
56227,5.0,3.0,3.2,8,1,6.0,0
56228,10.0,3.0,3.2,8,1,6.0,0
56229,1.0,1.0,1.1,8,0,6.0,0
56230,0.1,4.0,4.1,8,1,6.0,0
56231,5.0,3.0,3.2,8,1,6.0,0
56232,2.0,2.0,2.3,8,1,6.0,0
56233,1.0,2.0,2.3,8,1,6.0,0
56234,2.0,1.0,1.1,8,1,6.0,0
56235,5.0,1.0,1.2,8,0,6.0,0
56236,1.0,2.0,2.3,8,1,6.0,0
56237,10.0,3.0,3.2,8,0,6.0,0
56238,1.0,3.0,3.1,8,0,6.0,0
56239,5.0,2.0,2.6,8,1,6.0,0
56240,2.0,2.0,2.3,8,1,6.0,0
56241,10.0,3.0,3.3,8,0,6.0,0
56242,1.0,1.0,1.1,8,1,6.0,0
56243,2.0,2.0,2.3,8,1,6.0,0
56244,10.0,3.0,3.2,8,1,6.0,0
56245,1.0,2.0,2.3,8,1,6.0,0
56246,2.0,4.0,4.1,8,1,6.0,0
56247,5.0,3.0,3.1,8,1,6.0,0
56248,1.0,2.0,2.3,8,1,6.0,0
56249,2.0,4.0,4.1,8,1,6.0,0
56250,5.0,4.0,4.1,8,1,6.0,0
56251,5.0,2.0,2.3,8,1,6.0,0
56252,5.0,2.0,2.5,8,1,6.0,0
56253,2.0,4.0,4.1,8,1,6.0,0
56254,1.0,4.0,4.1,8,1,6.0,0
56255,10.0,3.0,3.2,8,0,6.0,0
56256,1.0,2.0,2.3,8,0,6.0,0
56257,5.0,3.0,3.3,8,1,6.0,0
56258,2.0,4.0,4.1,8,1,6.0,0
56259,2.0,1.0,1.2,8,0,6.0,0
56260,2.0,4.0,4.1,8,1,6.0,0
56261,10.0,3.0,3.2,8,0,6.0,0
56262,2.0,4.0,4.1,8,1,6.0,0
56263,5.0,2.0,2.3,8,1,6.0,0
56264,1.0,2.0,2.3,8,0,6.0,0
56265,0.1,4.0,4.1,8,1,6.0,0
56266,2.0,2.0,2.1,8,1,6.0,0
56267,5.0,3.0,3.3,8,1,6.0,0
56268,5.0,3.0,3.1,8,1,6.0,0
56269,5.0,1.0,1.2,8,0,6.0,0
56270,5.0,3.0,3.3,8,1,6.0,0
56271,2.0,2.0,2.5,8,1,6.0,0
56272,0.1,1.0,1.4,8,1,6.0,0
56273,1.0,2.0,2.3,8,1,6.0,0
56274,1.0,4.0,4.1,8,1,6.0,0
56275,2.0,3.0,3.1,8,0,6.0,0
56276,2.0,3.0,3.1,8,1,6.0,0
56277,5.0,2.0,2.1,8,1,6.0,0
56278,5.0,4.0,4.1,8,1,6.0,0
56279,5.0,4.0,4.1,8,1,6.0,0
56280,1.0,4.0,4.1,8,1,6.0,0
56281,2.0,4.0,4.3,8,1,6.0,0
56282,2.0,1.0,1.1,8,0,6.0,0
56283,5.0,1.0,1.3,8,1,6.0,0
56284,10.0,3.0,3.2,8,1,6.0,0
56285,2.0,4.0,4.1,8,1,6.0,0
56286,10.0,1.0,1.6,8,1,6.0,0
56287,5.0,3.0,3.2,8,1,6.0,0
56288,5.0,3.0,3.2,8,1,6.0,0
56289,1.0,4.0,4.1,8,1,6.0,0
56290,1.0,4.0,4.1,8,1,6.0,0
